Model,In,Out,Batch,Compiled,Fwd Mean (ms),Fwd Std (ms),Bwd Mean (ms),Bwd Std (ms)
Lorentz_FC cached (MLR),16384,16384,512,False,14.690282762050629,0.013506704875251603,32.51816616887631,0.002771849890639858
Lorentz_FC + ReLU,16384,16384,512,False,18.739722543833206,0.11487527720433617,44.68038826800407,0.006296735670876007
Lorentz_FC cached + ReLU,16384,16384,512,False,14.683345491235906,0.006441533228783427,32.55482980479365,0.0031183895414577697
BdeirLorentzMLR,16384,16384,512,False,19.62007466952006,0.008501508265977694,52.097962617874146,0.013427957307079606
"ChenLinear (bias=F, norm=F)",16384,16384,512,False,15.626146815039895,0.0037738441345099133,32.556412807730744,0.0044116725301376536
"ChenLinear (bias=T, norm=T)",16384,16384,512,False,15.865813295046488,0.010448910395712855,33.33241194121692,0.025462447253001674
Poincare_Dist2Hyperplanes,16384,16384,512,False,17.621558372010576,0.017732029415996883,51.10743490854899,0.013947747911870667
Poincare_Linear,16384,16384,512,False,18.18710820571236,0.01397191954851617,52.760853211085,0.01476488716297774
PoincareActivation (ReLU),16384,16384,512,False,0.6706573075177719,0.007122802195432101,2.635211706161499,0.02672271697286006
Euclidean Linear,16384,16384,512,False,15.613889304959045,0.01320694713933062,31.334869424502056,0.021820525019575387
Euclidean Linear no bias,16384,16384,512,False,15.590912016955288,0.003771732527195922,31.295968697995555,0.015216749103985624
Euclidean Linear + ReLU,16384,16384,512,False,15.662079919468272,0.004484847396385987,31.409685293833416,0.011242517635250112
Euclidean Linear no bias + ReLU,16384,16384,512,False,15.636082882783851,0.005642178825976766,31.365956014516403,0.0123602593193851
Lorentz_FC (MLR),16384,16,512,False,0.34498133324086666,0.0033977666527909745,0.49169429692816224,0.005349376157837059
Lorentz_FC cached (MLR),16384,16,512,False,0.18439314195087977,0.0007866403905477826,0.33391502102216086,0.002091037358618117
Lorentz_FC + ReLU,16384,16,512,False,0.3646747241628931,0.0017369796202066526,0.5477034635014004,0.0015049742324169143
